V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,Fracaso
-0.082383,0.436684,-0.123669,0.583429,-0.260714,0.180006,0.43653,0.189477,0.095869,-0.1394,0.409014,0.026712,-0.005543,62,1
-0.184926,0.755276,-0.229133,-0.119408,-0.210338,1.479118,0.394187,0.067395,0.707158,50.166332,1.003686,0.027796,0.113905,46,1
0.023987,0.482437,-0.235044,-0.021244,0.047084,0.992338,0.346635,0.07878,0.219092,0.051355,0.532917,0.000401,0.209134,25,1
-0.078037,0.38522,-0.158737,-0.084377,-0.08276,0.129006,0.280015,0.526926,0.099464,-0.36318,0.785128,0.005864,0.006217,72,1
-1.251691,1.214208,0.129301,-1.479493,-1.221359,0.781978,0.281344,0.367385,0.732923,-43.172721,0.971007,0.01172,-1.157849,47,1
0.006458,1.176595,0.101052,0.123493,0.026971,0.662272,0.474204,0.135603,0.673274,0.022104,0.707825,0.022741,-0.078641,28,1
-0.753604,0.607564,-0.209143,-1.387772,-0.732764,0.224357,0.113119,0.976636,0.323793,1.478895,1.509572,0.008338,-0.186734,29,1
-0.291895,0.831708,-0.0397,-0.231179,-0.361717,0.336856,0.439077,0.689364,0.196199,-3.905623,0.925263,0.034641,0.056842,71,1
-0.180427,0.65537,-0.229846,-0.004253,-0.147864,0.695704,0.442292,0.267553,0.43709,-2.754156,0.934489,0.010935,0.084679,31,1
-0.328506,1.28034,0.144269,-0.786552,-0.465636,0.229229,1.247739,0.712397,0.658892,1.447042,1.227019,0.015367,-0.066906,26,1
-0.193203,0.642859,-0.128234,-0.371044,-0.224663,0.044026,0.341453,0.264532,0.230823,-0.513277,0.623588,0.00001,-0.001322,20,1
0.024445,1.389682,0.141024,0.024772,0.043636,0.481455,0.98954,0.3387,0.50292,0.081647,0.700596,0.094871,-0.104944,61,1
0.008086,0.919551,-0.036587,0.286271,0.02448,0.521565,0.560629,0.192131,0.418205,0.022901,0.646924,0.000875,0.073963,24,1
0.062396,1.091223,0.066821,0.08461,0.097193,1.411354,0.712989,0.086592,0.799321,0.344904,0.819092,0.01516,-0.374981,46,1
