Beneficio neto/Total Activo,Activo Corriente/Pasivo Corriente,(Activo Corriente-Pasivo Corriente)/Total Activo,Beneficio retenido / Total Activo = (Reservas año posterior – Reservas año actual) / Total Activo,(Beneficio neto + Gastos financieros + Impuestos) / Total Activo,Ventas / Total Activo,(Tesorería + Deudores) / Pasivo Corriente,Pasivo no corriente / Total Activo,Activo corriente / Total Activo,Beneficio neto / Patrimonio neto,Total deudas / Total activo,Tesorería / Total Activo,(Beneficio neto + Dotación amortizaciones – Deudores año actual – Existencias año actual + Deudores año anterior + Existencias año anterior) / Total deudas,CNAE,Fracaso
0.007050248,2.302744516,0.42712663,0.13751836,0.029143593,0.228961412,1.22492597,0.410218812,0.754993397,0.026918136,0.738085578,0.031740745,-0.030102445,72,0
0.005026685,0.491076217,-0.15629708,0.019547509,0.025185772,0.426047598,0.483193854,0.25485815,0.150815863,0.011475692,0.561971094,0.002805087,-0.028211029,62,1
0.022281523,0.979118265,-0.01538225,0.199482631,0.053662631,0.82427024,0.803198215,0.021493889,0.721254339,0.092122077,0.758130478,0.00024465,-0.026582892,62,0
0.000122401,5.509106316,0.43032749,0.342317626,0.008985893,0.106205135,2.738212279,0.397926716,0.525762691,0.000241594,0.493361921,0.049969467,-0.025222761,72,0
0.002887954,0.966162411,-0.02268891,0.072991056,0.025027017,1.595364083,0.652499888,0.215534259,0.647834884,0.025345838,0.886058052,0.031539914,-0.020002734,25,0
0.014015069,0.616391171,-0.20485529,0.091471031,0.016652637,0.318630294,0.34347354,0.368249415,0.329166017,0.143410111,0.90227072,0.048993505,-0.016968245,18,0
0.008662477,1.137399456,0.04610960,0.156796385,0.015106021,0.567619251,0.516427552,0.30836265,0.381697509,0.024329421,0.643950563,0.048160658,-0.016604215,93,0
0.003666973,5.786718808,0.45004287,-0.010189273,0.007411642,0.531874776,2.434324504,0.415577767,0.544061946,0.007477466,0.509596841,0.187029488,-0.016183133,25,0
0.003264934,1.781935909,0.31608779,0.040369228,0.020931294,0.202507522,0.920256953,0.44744884,0.720325258,0.022013751,0.851686306,0.083718377,-0.014903866,72,0
0.010134261,1.92559257,0.35414371,0.324914925,0.023529355,1.241742928,1.773742813,0.048160231,0.736756659,0.017803555,0.430773184,0.031874464,-0.014691126,28,0
0.004605839,0.458060026,-0.39058429,0.032682542,0.045231639,0.951327071,0.20586009,0.068964294,0.330130752,0.021899129,0.789679339,0,-0.014587776,47,0
0.035914496,1.938144658,0.21757747,0.449603178,0.115627083,0.743072738,1.721931454,0.301400593,0.449500628,0.076958055,0.533323751,0.10833152,-0.014538584,10,0
-0.025138005,1.036390921,0.01059164,0.184051685,-0.030655967,0.102296738,0.869877956,0.350685044,0.30164344,-0.070166313,0.641736841,0.002935558,-0.012786437,26,1
0.002576324,0.932559673,-0.05122519,0.106956225,0.057972736,1.215505225,0.565077206,0.124372476,0.708338044,0.022197326,0.883935713,0.045100211,-0.010922226,28,0
0.001035288,4.288390068,0.33274252,0.021844431,0.001923748,0.464075799,4.288390068,0.571580964,0.433929585,0.003163775,0.672768025,0.323056363,-0.010736309,62,0
